0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:10:45 +0900] "GET /orm/MovieInfo.do?no=1 HTTP/1.1" 200 25265
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:10:46 +0900] "GET /index2.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:10:57 +0900] "GET /index2.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:10:58 +0900] "GET /index2.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:00 +0900] "GET /index2.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:03 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:03 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:04 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:04 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:12 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:12 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:13 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:13 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:14 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:14 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:15 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:15 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:17 +0900] "GET /orm/MovieInfo.do?no=1 HTTP/1.1" 200 25267
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:17 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:17 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:19 +0900] "GET /orm/MovieInfo.do?no=2 HTTP/1.1" 200 24337
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:20 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:11:20 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:05 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:05 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/signup.do HTTP/1.1" 200 6433
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/vendor/animate/animate.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/vendor/select2/select2.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/fonts/raleway/Raleway-Medium.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/fonts/raleway/Raleway-SemiBold.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/fonts/raleway/Raleway-Bold.ttf HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Aug/2020:17:13:07 +0900] "GET /orm/fonts/raleway/Raleway-Regular.ttf HTTP/1.1" 404 799
